From	Entry	Entry Name	Gene Names
Q9BY66	Q9BY66	KDM5D_HUMAN	KDM5D HY HYA JARID1D KIAA0234 SMCY
P15927	P15927	RFA2_HUMAN	RPA2 REPA2 RPA32 RPA34
Q5XUX0	Q5XUX0	FBX31_HUMAN	FBXO31 FBX14 FBX31 PP2386
Q9NW07	Q9NW07	ZN358_HUMAN	ZNF358
P57740	P57740	NU107_HUMAN	NUP107
Q96PK6	Q96PK6	RBM14_HUMAN	RBM14 SIP
Q86Z20	Q86Z20	CC125_HUMAN	CCDC125 KENAE
Q9NP77	Q9NP77	SSU72_HUMAN	SSU72 HSPC182 PNAS-120
Q96NY9	Q96NY9	MUS81_HUMAN	MUS81
Q96KR6	Q96KR6	F210B_HUMAN	FAM210B C20orf108 PSEC0265
Q99909	Q99909	SSX3_HUMAN	SSX3
O15446	O15446	RPA34_HUMAN	POLR1G ASE1 CAST CD3EAP PAF49
Q02641	Q02641	CACB1_HUMAN	CACNB1 CACNLB1
Q9Y2H1	Q9Y2H1	ST38L_HUMAN	STK38L KIAA0965 NDR2
Q8WV60	Q8WV60	PTCD2_HUMAN	PTCD2
Q3ZCQ8	Q3ZCQ8	TIM50_HUMAN	TIMM50 TIM50 PRO1512
P13612	P13612	ITA4_HUMAN	ITGA4 CD49D
Q8N1W1	Q8N1W1	ARG28_HUMAN	ARHGEF28 KIAA1998 RGNEF
Q14BN4	Q14BN4	SLMAP_HUMAN	SLMAP KIAA1601 SLAP UNQ1847/PRO3577
P09603	P09603	CSF1_HUMAN	CSF1
P43268	P43268	ETV4_HUMAN	ETV4 E1AF PEA3
Q53HC0	Q53HC0	CCD92_HUMAN	CCDC92
Q96RR4	Q96RR4	KKCC2_HUMAN	CAMKK2 CAMKKB KIAA0787
Q8TB96	Q8TB96	TIP_HUMAN	ITFG1 LNKN-1 TIP CDA08
O00124	O00124	UBXN8_HUMAN	UBXN8 D8S2298E REP8 UBXD6
Q9UKN8	Q9UKN8	TF3C4_HUMAN	GTF3C4
Q9P2B7	Q9P2B7	CFA97_HUMAN	CFAP97 KIAA1430
P0DP58	P0DP58	LYNX1_HUMAN	LYNX1
Q14123	Q14123	PDE1C_HUMAN	PDE1C
Q8IYD8	Q8IYD8	FANCM_HUMAN	FANCM KIAA1596
O75828	O75828	CBR3_HUMAN	CBR3 SDR21C2
